order_id,customer_id,product_id,branch_id,date,quantity,payment_type,order_value
1,3,7,4,2026-06-02,4,cash,16396
2,8,1,3,2026-06-03,3,card,12297
3,2,1,2,2026-06-03,1,card,3800
4,4,10,3,2026-06-03,3,cash,7200
5,7,5,2,2026-06-04,3,cash,15000
6,10,8,4,2026-06-04,6,card,37794
7,9,8,1,2026-06-04,4,cash,24000
8,3,3,2,2026-06-05,3,Gpay,10800
9,1,7,3,2026-06-05,3,Gpay,12297
10,2,8,1,2026-06-06,2,card,12000
11,9,5,4,2026-06-07,1,cash,5099
12,9,6,2,2026-06-08,2,Gpay,6200
13,8,6,2,2026-06-08,2,Gpay,6200
14,4,11,4,2026-06-08,1,cash,2599
15,2,6,2,2026-06-10,1,Gpay,3100
16,2,8,2,2026-06-10,9,card,54000
17,3,6,4,2026-06-12,1,cash,2899
18,3,12,2,2026-06-12,2,Gpay,8378
19,7,8,2,2026-06-13,1,Gpay,6000
20,6,7,4,2026-06-14,1,cash,4099
23,3,11,3,2026-06-17,5,Gpay,13495
24,5,6,4,2026-06-18,3,Gpay,8697
25,6,6,1,2026-06-18,3,card,9300
26,2,9,3,2026-06-18,7,cash,14700
27,4,3,1,2026-06-19,1,cash,3600
28,9,8,4,2026-06-19,5,Gpay,31495
29,9,6,2,2026-06-19,8,cash,24800
30,4,6,3,2026-06-19,3,card,8997
31,9,9,2,2026-06-19,1,cash,1999
32,1,9,2,2026-06-20,1,cash,1999
33,7,4,4,2026-06-21,2,card,6798
34,4,6,2,2026-06-21,3,Gpay,9300
35,7,8,3,2026-06-21,8,card,50392
36,5,10,4,2026-06-23,1,Gpay,2699
37,9,12,3,2026-06-25,3,cash,12297
38,3,8,2,2026-06-27,1,cash,6000
39,6,12,3,2026-06-29,2,card,8198
40,1,1,3,2026-06-30,2,cash,8198
41,4,6,2,2026-07-02,1,cash,3100
42,2,5,2,2026-07-03,1,cash,5000
43,5,4,2,2026-07-03,3,card,10800
44,10,12,4,2026-07-03,6,cash,24600
45,10,3,2,2026-07-05,3,card,10800
46,9,11,2,2026-07-05,6,card,15000
47,1,10,2,2026-07-05,1,card,2499
48,2,4,4,2026-07-06,6,card,20394
49,9,6,2,2026-07-07,1,cash,3100
50,9,4,1,2026-07-10,1,card,3600
51,5,7,1,2026-07-10,4,card,15600
52,4,3,4,2026-07-11,2,card,6798
53,5,8,1,2026-07-12,3,card,18000
54,3,7,3,2026-07-12,3,Gpay,12297
55,10,12,2,2026-07-12,1,cash,4189
56,2,8,2,2026-07-13,2,Gpay,12000
57,8,10,4,2026-07-13,1,Gpay,2699
58,2,4,4,2026-07-14,2,card,6798
59,8,10,3,2026-07-15,1,card,2400
60,3,7,3,2026-07-16,8,Gpay,32792
61,9,6,3,2026-07-16,6,cash,17994
62,8,1,4,2026-07-17,1,cash,4199
63,7,12,3,2026-07-18,2,cash,8198
64,2,5,3,2026-07-19,2,cash,10198
65,4,4,1,2026-07-19,5,cash,18000
67,5,6,1,2026-07-20,1,Gpay,3100
68,3,7,2,2026-07-21,10,card,39000
70,9,8,2,2026-07-22,1,Gpay,6000
71,10,8,2,2026-07-23,2,cash,12000
72,9,11,2,2026-07-23,2,cash,5000
73,5,3,3,2026-07-24,1,cash,3299
74,7,1,1,2026-07-25,1,card,3800
75,8,10,2,2026-07-27,2,cash,4998
76,9,12,2,2026-07-28,1,cash,4189
77,6,11,2,2026-07-29,3,card,7500
78,7,12,4,2026-07-30,3,card,12300
79,6,1,1,2026-07-31,3,cash,11400
80,9,6,2,2026-07-31,1,cash,3100
81,8,6,4,2026-07-31,7,card,20293
82,8,12,4,2026-07-31,2,Gpay,8200
83,8,2,2,2026-08-01,4,card,15200
84,2,4,4,2026-08-02,1,card,3399
85,4,2,1,2026-08-03,2,card,7600
86,9,6,4,2026-08-03,1,card,2899
87,9,11,2,2026-08-03,1,Gpay,2500
88,9,4,3,2026-08-04,9,cash,29691
89,4,6,4,2026-08-04,3,card,8697
90,7,6,3,2026-08-04,1,cash,2999
92,4,10,4,2026-08-04,2,Gpay,5398
93,7,1,2,2026-08-05,2,card,7600
94,2,12,2,2026-08-05,1,cash,4189
95,4,1,2,2026-08-06,2,cash,7600
96,10,5,4,2026-08-06,1,cash,5099
97,1,2,2,2026-08-08,4,card,15200
98,10,3,2,2026-08-10,3,card,10800
99,8,5,3,2026-08-11,1,card,5099
100,3,5,4,2026-08-13,3,Gpay,15297
101,6,4,3,2026-08-13,1,card,3299
103,4,6,4,2026-08-15,2,cash,5798
104,8,12,2,2026-08-15,2,card,8378
105,8,11,1,2026-08-16,1,Gpay,2500
106,1,12,4,2026-08-16,1,card,4100
107,2,11,3,2026-08-16,2,Gpay,5398
109,2,4,1,2026-08-18,4,cash,14400
110,8,6,4,2026-08-18,5,cash,14495
111,8,6,2,2026-08-19,3,cash,9300
112,3,3,2,2026-08-20,2,cash,7200
113,10,7,1,2026-08-20,2,card,7800
114,2,7,1,2026-08-20,3,cash,11700
115,7,6,1,2026-08-20,9,Gpay,27900
116,2,11,4,2026-08-20,3,cash,7797
117,3,5,4,2026-08-21,3,card,15297
118,2,4,3,2026-08-21,3,cash,9897
119,5,2,2,2026-08-23,1,card,3800
121,9,4,2,2026-08-27,1,Gpay,3600
123,1,6,3,2026-08-31,1,card,2999
124,10,11,2,2026-08-31,9,Gpay,22500
125,8,1,3,2026-09-01,6,card,24594
126,10,10,3,2026-09-01,2,cash,4800
128,1,10,3,2026-09-06,2,card,4800
129,2,1,2,2026-09-07,2,Gpay,7600
130,7,2,1,2026-09-07,6,Gpay,22800
131,9,3,1,2026-09-07,2,Gpay,7200
132,5,7,3,2026-09-07,1,cash,4099
133,6,7,4,2026-09-07,2,Gpay,8198
134,7,6,2,2026-09-08,10,card,31000
135,2,6,4,2026-09-08,2,cash,5798
136,3,5,1,2026-09-10,1,Gpay,5000
137,7,5,1,2026-09-11,2,Gpay,10000
139,2,2,4,2026-09-12,1,cash,4199
140,1,5,4,2026-09-12,3,Gpay,15297
141,10,3,2,2026-09-12,1,Gpay,3600
142,4,10,4,2026-09-14,1,card,2699
143,9,12,2,2026-09-15,1,card,4189
144,4,5,1,2026-09-16,6,card,30000
145,6,3,1,2026-09-16,2,Gpay,7200
146,5,9,4,2026-09-16,1,cash,2100
147,6,10,4,2026-09-16,1,card,2699
148,8,3,4,2026-09-17,3,cash,10197
149,8,2,4,2026-09-18,1,cash,4199
150,2,2,4,2026-09-20,3,card,12597
151,3,7,1,2026-09-20,5,Gpay,19500
152,1,2,4,2026-09-23,1,card,4199
154,3,4,2,2026-09-24,2,Gpay,7200
155,3,3,3,2026-09-24,5,cash,16495
156,9,12,4,2026-09-24,2,Gpay,8200
157,6,9,3,2026-09-24,1,cash,2100
158,5,1,3,2026-09-25,4,cash,16396
159,9,5,1,2026-09-25,2,cash,10000
160,10,2,1,2026-09-26,3,Gpay,11400
161,6,4,3,2026-09-26,2,Gpay,6598
162,6,11,1,2026-09-26,1,Gpay,2500
163,1,12,3,2026-09-26,5,cash,20495
164,10,2,3,2026-09-27,3,card,12297
165,5,8,4,2026-09-27,2,card,12598
166,4,9,1,2026-09-27,1,Gpay,1999
167,2,5,3,2026-09-30,2,Gpay,10198
168,3,3,2,2026-09-30,2,card,7200
169,4,9,2,2026-09-30,1,Gpay,1999
